Variable,Descripción
FECHA_CORTE,Fecha de corte de información.
FECHA_UTC,"Hora universal coordinado (UTC), fecha con cinco horas adelantadas con respecto a la hora local."
HORA_UTC,"Hora universal coordinada (UTC), cinco horas adelantadas con respecto a la hora local."
LATITUD,"Distancia en grados, minutos y segundos con respecto al paralelo principal (Ecuador (0º))."
LONGITUD,"Distancia en grados, minutos y segundos con respecto al meridiano principal (meridiano de Greenwich (0º))."
PROFUNDIDAD,Profundidad del foco sísmico por debajo de la superficie.
MAGNITUD,"Cantidad de energía liberada por el sismo, expresada en la escala de magnitud momento Mw."
